Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
Runny Nose,Loss of Appetite,Chills,Diarrhea,Fever,Asthma
Sweating,High Fever,Runny Nose,Skin Rash,Body Pain,Chikungunya
Muscle Weakness,Dizziness,Nausea,Shortness of Breath,Body Pain,Dengue
Cough,Chest Pain,Nausea,Vomiting,Shortness of Breath,Asthma
Muscle Weakness,Body Pain,Dizziness,Sneezing,Diarrhea,Bronchitis
Diarrhea,Sweating,Joint Pain,High Fever,Headache,Pneumonia
Vomiting,Loss of Appetite,Dizziness,Sneezing,Joint Pain,Malaria
Joint Pain,Dizziness,Sneezing,Headache,Fatigue,COVID-19
Loss of Appetite,Runny Nose,Abdominal Pain,Sneezing,Swelling,Dengue
Sore Throat,Body Pain,High Fever,Sneezing,Loss of Appetite,Pneumonia
Dizziness,Skin Rash,Swelling,Runny Nose,Fever,Chikungunya
Fever,Headache,Chills,Dizziness,Abdominal Pain,Flu
Vomiting,Sweating,Joint Pain,Fatigue,Fever,Pneumonia
Shortness of Breath,Diarrhea,Runny Nose,Chills,Muscle Weakness,Asthma
Skin Rash,Body Pain,Loss of Appetite,Headache,Fever,COVID-19
Runny Nose,Diarrhea,Dizziness,Abdominal Pain,Joint Pain,COVID-19
Joint Pain,Abdominal Pain,Dizziness,Vomiting,Sneezing,Allergy
Chills,Shortness of Breath,Sweating,Loss of Appetite,Headache,COVID-19
Body Pain,Skin Rash,Sweating,Diarrhea,Muscle Weakness,Cold
Muscle Weakness,Shortness of Breath,Diarrhea,Dizziness,Headache,Asthma
Cough,Nausea,Joint Pain,Chills,Skin Rash,Food Poisoning
Body Pain,Nausea,Abdominal Pain,Joint Pain,Chest Pain,Flu
Fatigue,Sore Throat,High Fever,Runny Nose,Nausea,Chikungunya
Swelling,Sneezing,Cough,Skin Rash,Body Pain,Bronchitis
Chills,Sweating,Body Pain,Joint Pain,Abdominal Pain,Pneumonia
Body Pain,Chest Pain,Cough,Abdominal Pain,Fever,Pneumonia
Shortness of Breath,Cough,Body Pain,Fever,Nausea,Dengue
Skin Rash,Diarrhea,Chills,Muscle Weakness,Nausea,Food Poisoning
Joint Pain,Dizziness,Chest Pain,Skin Rash,Nausea,COVID-19
Joint Pain,Abdominal Pain,Fatigue,Chills,Skin Rash,Dengue
Headache,Body Pain,Joint Pain,Loss of Appetite,Dizziness,Bronchitis
Runny Nose,Dizziness,High Fever,Body Pain,Fatigue,Chikungunya
Nausea,Fatigue,Runny Nose,Muscle Weakness,Sore Throat,Tuberculosis
Cough,Loss of Appetite,Shortness of Breath,Chest Pain,Fatigue,Chikungunya
Fatigue,Chills,Swelling,Dizziness,Chest Pain,Typhoid
Fatigue,Swelling,Dizziness,Sneezing,Chills,Pneumonia
Abdominal Pain,Chills,Muscle Weakness,Joint Pain,Fatigue,Bronchitis
Fatigue,Body Pain,Cough,Joint Pain,Chest Pain,COVID-19
Runny Nose,Sweating,Chest Pain,Sore Throat,Joint Pain,Flu
Dizziness,Chest Pain,Nausea,Runny Nose,Fever,Pneumonia
Chills,Cough,Sore Throat,High Fever,Shortness of Breath,Tuberculosis
Chills,Diarrhea,Headache,Sneezing,Sore Throat,Dengue
Dizziness,Vomiting,Chest Pain,Body Pain,Fatigue,Cold
Vomiting,Swelling,Abdominal Pain,Sneezing,Skin Rash,Flu
Sweating,Joint Pain,Cough,Nausea,Fever,Dengue
Headache,Diarrhea,Fever,Dizziness,Vomiting,Typhoid
Body Pain,Diarrhea,Abdominal Pain,Runny Nose,Skin Rash,Bronchitis
Skin Rash,Shortness of Breath,Vomiting,Chills,Cough,Malaria
Headache,Swelling,Sneezing,Muscle Weakness,Sore Throat,Flu
Fever,Chills,Sweating,Nausea,Chest Pain,Allergy
Fatigue,Runny Nose,Cough,Sore Throat,Sneezing,Chikungunya
Fatigue,Shortness of Breath,Joint Pain,Sneezing,Vomiting,Pneumonia
Body Pain,Chest Pain,High Fever,Loss of Appetite,Chills,Asthma
Joint Pain,Sore Throat,Body Pain,Abdominal Pain,Skin Rash,Dengue
Sweating,Diarrhea,Sore Throat,Dizziness,Loss of Appetite,Dengue
Cough,Abdominal Pain,Dizziness,Sweating,Diarrhea,Flu
Sore Throat,Muscle Weakness,Nausea,Headache,Fever,Food Poisoning
Chest Pain,Sweating,Dizziness,Vomiting,Diarrhea,Allergy
Fever,Loss of Appetite,Cough,Swelling,Chest Pain,Flu
High Fever,Abdominal Pain,Diarrhea,Sore Throat,Shortness of Breath,Asthma
Swelling,Diarrhea,Nausea,Cough,Sweating,Typhoid
Nausea,Runny Nose,Shortness of Breath,Headache,Vomiting,Pneumonia
Sore Throat,Cough,Skin Rash,Fever,Muscle Weakness,Allergy
Joint Pain,Abdominal Pain,Muscle Weakness,High Fever,Sneezing,Chikungunya
Loss of Appetite,Swelling,Sneezing,Body Pain,Shortness of Breath,Pneumonia
Fatigue,Loss of Appetite,Skin Rash,Sore Throat,Vomiting,Malaria
High Fever,Diarrhea,Skin Rash,Chills,Muscle Weakness,Asthma
Fatigue,Sore Throat,High Fever,Muscle Weakness,Joint Pain,Bronchitis
Sweating,Sneezing,Sore Throat,Joint Pain,Cough,Chikungunya
Swelling,Shortness of Breath,Vomiting,Sore Throat,Joint Pain,Pneumonia
High Fever,Runny Nose,Cough,Muscle Weakness,Sneezing,Typhoid
Joint Pain,Skin Rash,Fatigue,Sore Throat,Chills,Asthma
Skin Rash,Muscle Weakness,Nausea,Abdominal Pain,Runny Nose,Dengue
Runny Nose,Dizziness,Muscle Weakness,Fever,Nausea,Cold
Shortness of Breath,Swelling,Fatigue,Chills,Fever,Cold
Fatigue,Sneezing,Skin Rash,Muscle Weakness,Dizziness,Malaria
Chest Pain,Sore Throat,Diarrhea,Abdominal Pain,Fatigue,Food Poisoning
Fever,Chills,Fatigue,Loss of Appetite,Swelling,Chikungunya
Chills,Diarrhea,Cough,Abdominal Pain,Joint Pain,Tuberculosis
Shortness of Breath,High Fever,Joint Pain,Chest Pain,Abdominal Pain,Asthma
Muscle Weakness,Joint Pain,Runny Nose,Chills,Fever,Malaria
Body Pain,Vomiting,Muscle Weakness,Sweating,Diarrhea,Dengue
Swelling,Body Pain,Shortness of Breath,Diarrhea,Sneezing,Flu
Headache,Chest Pain,Chills,Fatigue,Runny Nose,Flu
Sore Throat,Headache,Swelling,Fever,Joint Pain,Asthma
Nausea,Abdominal Pain,Body Pain,Sneezing,Muscle Weakness,Chikungunya
High Fever,Vomiting,Muscle Weakness,Cough,Nausea,Food Poisoning
Shortness of Breath,Skin Rash,Dizziness,Runny Nose,High Fever,COVID-19
Body Pain,Nausea,Runny Nose,Fever,Chest Pain,Flu
Fatigue,Nausea,Muscle Weakness,Cough,Joint Pain,Cold
Sneezing,Diarrhea,Loss of Appetite,Headache,Nausea,Bronchitis
Shortness of Breath,Swelling,Chest Pain,Nausea,Abdominal Pain,Cold
Joint Pain,Fatigue,Cough,Dizziness,Body Pain,Allergy
Sneezing,Diarrhea,Fever,Sore Throat,Vomiting,Flu
Dizziness,Sweating,Headache,Sneezing,Muscle Weakness,COVID-19
Diarrhea,Fatigue,Abdominal Pain,Muscle Weakness,Runny Nose,Flu
High Fever,Headache,Sneezing,Sore Throat,Shortness of Breath,Dengue
Chills,Joint Pain,Chest Pain,Abdominal Pain,Loss of Appetite,Bronchitis
Abdominal Pain,Shortness of Breath,High Fever,Cough,Diarrhea,Tuberculosis
Body Pain,Nausea,Fever,Sweating,Headache,Chikungunya
Sweating,Swelling,Abdominal Pain,Fever,Loss of Appetite,Malaria
Skin Rash,Joint Pain,Chest Pain,Chills,Sneezing,Allergy
Abdominal Pain,Fever,Joint Pain,Sore Throat,Dizziness,Pneumonia
Joint Pain,Diarrhea,Body Pain,Fever,Cough,Typhoid
Shortness of Breath,Skin Rash,Sore Throat,Swelling,Chest Pain,Chikungunya
Sore Throat,High Fever,Sneezing,Abdominal Pain,Runny Nose,Bronchitis
Fever,Skin Rash,Body Pain,Runny Nose,Sneezing,Tuberculosis
Headache,Cough,Fever,Sore Throat,Shortness of Breath,Allergy
Nausea,Joint Pain,Cough,Vomiting,Sore Throat,COVID-19
Sore Throat,Sweating,High Fever,Swelling,Runny Nose,Asthma
Skin Rash,Shortness of Breath,Abdominal Pain,Sweating,Chills,Bronchitis
Body Pain,Sore Throat,Sneezing,Vomiting,Sweating,Tuberculosis
Loss of Appetite,Fatigue,Shortness of Breath,Cough,Headache,Flu
Diarrhea,Loss of Appetite,Skin Rash,Chills,Fever,Bronchitis
Shortness of Breath,Joint Pain,Chest Pain,Skin Rash,Diarrhea,Cold
Fatigue,Sore Throat,Abdominal Pain,Sweating,Swelling,Pneumonia
Body Pain,Sore Throat,High Fever,Sweating,Loss of Appetite,Food Poisoning
Chest Pain,Nausea,Headache,Dizziness,Fever,Typhoid
Muscle Weakness,Chills,Body Pain,Shortness of Breath,Joint Pain,Allergy
Chest Pain,Loss of Appetite,High Fever,Shortness of Breath,Fatigue,Cold
Sneezing,Chills,Cough,Muscle Weakness,Headache,Allergy
Sore Throat,Nausea,Dizziness,High Fever,Abdominal Pain,Cold
Shortness of Breath,Dizziness,Cough,Chills,Headache,COVID-19
Chills,Headache,Sneezing,Cough,Nausea,Allergy
Swelling,Chest Pain,Sweating,Shortness of Breath,Joint Pain,Tuberculosis
Sneezing,Chills,Runny Nose,Muscle Weakness,Headache,Asthma
Body Pain,Headache,Swelling,Skin Rash,Fever,Flu
Loss of Appetite,Shortness of Breath,Runny Nose,Dizziness,Diarrhea,Asthma
High Fever,Cough,Loss of Appetite,Muscle Weakness,Runny Nose,Asthma
Sore Throat,Loss of Appetite,Shortness of Breath,Runny Nose,Joint Pain,Flu
Runny Nose,Nausea,Joint Pain,Headache,Chest Pain,Typhoid
Sweating,Vomiting,Loss of Appetite,Runny Nose,Diarrhea,Flu
Sweating,Dizziness,Body Pain,Sneezing,Runny Nose,Malaria
Runny Nose,Fever,Muscle Weakness,Swelling,Vomiting,COVID-19
Swelling,Muscle Weakness,High Fever,Sneezing,Chills,Chikungunya
Swelling,Joint Pain,Abdominal Pain,Shortness of Breath,Nausea,Cold
Vomiting,Swelling,Sneezing,Shortness of Breath,Nausea,Tuberculosis
Abdominal Pain,Body Pain,Loss of Appetite,Swelling,Shortness of Breath,Flu
High Fever,Muscle Weakness,Headache,Dizziness,Nausea,Asthma
Sneezing,Chills,High Fever,Cough,Vomiting,Chikungunya
Chest Pain,Headache,Muscle Weakness,Fatigue,Loss of Appetite,Tuberculosis
Sneezing,Fatigue,Nausea,Headache,Muscle Weakness,Malaria
Abdominal Pain,Body Pain,Swelling,Headache,Vomiting,COVID-19
Shortness of Breath,Vomiting,Chills,Skin Rash,Joint Pain,Bronchitis
Sweating,Vomiting,Sore Throat,High Fever,Joint Pain,Bronchitis
Chest Pain,Muscle Weakness,Chills,Skin Rash,Cough,Typhoid
Abdominal Pain,Runny Nose,Dizziness,Shortness of Breath,Cough,Dengue
Abdominal Pain,Nausea,Joint Pain,Vomiting,Skin Rash,Bronchitis
Chest Pain,Headache,Sweating,Fatigue,High Fever,Pneumonia
High Fever,Abdominal Pain,Loss of Appetite,Chest Pain,Sore Throat,Typhoid
High Fever,Sore Throat,Joint Pain,Shortness of Breath,Abdominal Pain,Food Poisoning
Dizziness,Skin Rash,Chest Pain,High Fever,Cough,Dengue
Abdominal Pain,Sweating,Dizziness,Nausea,Loss of Appetite,Bronchitis
Dizziness,Shortness of Breath,Chest Pain,Abdominal Pain,Fever,Food Poisoning
Nausea,Abdominal Pain,Diarrhea,Dizziness,Swelling,Chikungunya
Chills,Dizziness,Sneezing,Fever,Diarrhea,Cold
Runny Nose,High Fever,Sweating,Abdominal Pain,Shortness of Breath,Asthma
Chills,Body Pain,High Fever,Abdominal Pain,Sore Throat,Malaria
Body Pain,Headache,Vomiting,Skin Rash,Abdominal Pain,Asthma
Fever,Skin Rash,Chills,Chest Pain,Joint Pain,Pneumonia
Cough,Fever,Swelling,Runny Nose,Diarrhea,Chikungunya
Chills,Vomiting,Diarrhea,Loss of Appetite,Headache,Food Poisoning
Nausea,Sore Throat,Body Pain,Vomiting,Chills,Chikungunya
Skin Rash,Chest Pain,Shortness of Breath,Joint Pain,Loss of Appetite,Dengue
Sneezing,Fatigue,Abdominal Pain,Swelling,Nausea,Food Poisoning
Fatigue,Chills,Fever,Headache,Cough,Pneumonia
Diarrhea,Sneezing,Skin Rash,Abdominal Pain,Loss of Appetite,Cold
Chest Pain,Dizziness,Diarrhea,Swelling,Headache,Bronchitis
Runny Nose,Shortness of Breath,Cough,Sore Throat,Sweating,Cold
Fever,Body Pain,Headache,Nausea,Joint Pain,Bronchitis
Sneezing,Muscle Weakness,Runny Nose,Abdominal Pain,Joint Pain,Allergy
Swelling,Body Pain,Dizziness,Skin Rash,Nausea,Allergy
Chills,Headache,Abdominal Pain,Diarrhea,Muscle Weakness,Food Poisoning
Body Pain,Fever,Vomiting,Joint Pain,Muscle Weakness,Chikungunya
Abdominal Pain,Muscle Weakness,Sore Throat,Swelling,Fever,Chikungunya
Abdominal Pain,Nausea,High Fever,Runny Nose,Body Pain,Pneumonia
High Fever,Loss of Appetite,Sweating,Sneezing,Chills,Pneumonia
Runny Nose,Body Pain,Shortness of Breath,Sore Throat,Chest Pain,Pneumonia
Cough,Vomiting,Swelling,Chills,Muscle Weakness,COVID-19
High Fever,Chills,Headache,Skin Rash,Fatigue,Chikungunya
Fever,Swelling,Sneezing,Body Pain,Sore Throat,Chikungunya
Joint Pain,Cough,Vomiting,Fever,Sneezing,Typhoid
Nausea,Body Pain,Loss of Appetite,Swelling,Abdominal Pain,Flu
High Fever,Fever,Vomiting,Sneezing,Loss of Appetite,Food Poisoning
Fatigue,Shortness of Breath,Diarrhea,Nausea,Dizziness,Asthma
Body Pain,Vomiting,Fatigue,Muscle Weakness,Nausea,Dengue
Abdominal Pain,Fatigue,Chest Pain,Diarrhea,Headache,Flu
Shortness of Breath,Dizziness,Chills,Sneezing,Joint Pain,Malaria
Swelling,Chest Pain,Body Pain,Nausea,Joint Pain,Asthma
Chills,Runny Nose,Diarrhea,Loss of Appetite,Fever,Cold
Body Pain,Joint Pain,Diarrhea,Sneezing,Dizziness,Malaria
Sore Throat,Shortness of Breath,Loss of Appetite,Dizziness,Cough,Chikungunya
Nausea,Cough,Swelling,Headache,Diarrhea,Typhoid
Diarrhea,Runny Nose,Body Pain,Sweating,Shortness of Breath,Malaria
Headache,Chest Pain,Shortness of Breath,Sore Throat,Swelling,Malaria
Sneezing,High Fever,Skin Rash,Body Pain,Cough,Food Poisoning
Nausea,High Fever,Sweating,Diarrhea,Dizziness,Cold
High Fever,Joint Pain,Swelling,Sneezing,Cough,Dengue
High Fever,Loss of Appetite,Runny Nose,Body Pain,Shortness of Breath,Dengue
Chills,Abdominal Pain,Sore Throat,Loss of Appetite,Muscle Weakness,Pneumonia
Headache,Loss of Appetite,Swelling,Chest Pain,Joint Pain,Allergy
Abdominal Pain,Swelling,Fever,Chest Pain,Runny Nose,Cold
Chills,Chest Pain,Skin Rash,Loss of Appetite,Dizziness,Flu
High Fever,Fever,Nausea,Sneezing,Cough,COVID-19
Loss of Appetite,High Fever,Sweating,Muscle Weakness,Shortness of Breath,Chikungunya
High Fever,Skin Rash,Shortness of Breath,Runny Nose,Muscle Weakness,Tuberculosis
Nausea,Cough,Chest Pain,Skin Rash,Loss of Appetite,Asthma
Sweating,Dizziness,Joint Pain,Runny Nose,Cough,COVID-19
Muscle Weakness,Sweating,Cough,Loss of Appetite,Shortness of Breath,Typhoid
Nausea,Sore Throat,Runny Nose,Sweating,High Fever,Cold
Dizziness,High Fever,Skin Rash,Headache,Cough,Pneumonia
Diarrhea,Skin Rash,Loss of Appetite,Dizziness,Nausea,Malaria
Skin Rash,Sweating,Chills,Chest Pain,Vomiting,Pneumonia
Shortness of Breath,Chills,High Fever,Fever,Skin Rash,Dengue
Fever,Joint Pain,Cough,Shortness of Breath,Swelling,Pneumonia
Skin Rash,Cough,Dizziness,Nausea,Loss of Appetite,Malaria
Body Pain,Chest Pain,Joint Pain,Skin Rash,Muscle Weakness,COVID-19
Vomiting,Chest Pain,Headache,Dizziness,Shortness of Breath,Asthma
High Fever,Shortness of Breath,Nausea,Dizziness,Joint Pain,Pneumonia
Runny Nose,Chills,Diarrhea,Sore Throat,Muscle Weakness,COVID-19
Chills,High Fever,Chest Pain,Nausea,Loss of Appetite,Chikungunya
Cough,Chills,Runny Nose,Sneezing,Swelling,Dengue
High Fever,Cough,Shortness of Breath,Runny Nose,Loss of Appetite,COVID-19
Headache,Skin Rash,Swelling,Joint Pain,Chest Pain,Bronchitis
Joint Pain,Runny Nose,Headache,Chills,Nausea,Chikungunya
Joint Pain,Sweating,Loss of Appetite,Chills,Sore Throat,Typhoid
High Fever,Skin Rash,Runny Nose,Dizziness,Shortness of Breath,Asthma
Sneezing,Joint Pain,Cough,Fatigue,Sweating,Food Poisoning
Shortness of Breath,Skin Rash,Fever,Sneezing,Body Pain,Cold
Diarrhea,Skin Rash,High Fever,Fatigue,Chest Pain,Chikungunya
Dizziness,Shortness of Breath,Abdominal Pain,Diarrhea,Runny Nose,Tuberculosis
Headache,Runny Nose,Loss of Appetite,Diarrhea,Fever,Tuberculosis
Sneezing,Diarrhea,Vomiting,Abdominal Pain,Chills,Chikungunya
Dizziness,Joint Pain,Chills,Shortness of Breath,Sweating,Food Poisoning
Sneezing,Headache,Dizziness,Sweating,Fever,Typhoid
Sneezing,Joint Pain,Fever,Sore Throat,Headache,Typhoid
Body Pain,Sneezing,Chest Pain,Fever,Sweating,Bronchitis
Diarrhea,Runny Nose,Headache,Swelling,Fatigue,Bronchitis
Sore Throat,Skin Rash,Fever,Vomiting,Sweating,Asthma
Runny Nose,High Fever,Fever,Abdominal Pain,Dizziness,COVID-19
Chills,Runny Nose,Chest Pain,Skin Rash,Abdominal Pain,Chikungunya
Chest Pain,Sweating,Fever,Abdominal Pain,Skin Rash,Allergy
Swelling,Diarrhea,Abdominal Pain,Sweating,Fatigue,Typhoid
Loss of Appetite,Abdominal Pain,Joint Pain,Fatigue,Shortness of Breath,Malaria
Vomiting,Fatigue,Headache,Sneezing,Body Pain,Pneumonia
Headache,Fatigue,Chest Pain,Swelling,Runny Nose,Allergy
Vomiting,High Fever,Fever,Skin Rash,Cough,Asthma
Chest Pain,Headache,Nausea,Sweating,Diarrhea,COVID-19
High Fever,Diarrhea,Nausea,Headache,Vomiting,Asthma
Chest Pain,High Fever,Cough,Abdominal Pain,Swelling,Food Poisoning
Sweating,Body Pain,Swelling,Dizziness,Fever,Tuberculosis
Swelling,Sweating,Shortness of Breath,Cough,High Fever,Asthma
Nausea,Cough,Abdominal Pain,Sore Throat,Headache,Pneumonia
Runny Nose,Muscle Weakness,Skin Rash,Nausea,Abdominal Pain,Chikungunya
Abdominal Pain,Sneezing,Shortness of Breath,Joint Pain,Chills,Malaria
Abdominal Pain,Shortness of Breath,Chest Pain,Runny Nose,Nausea,Cold
Chest Pain,Fever,Nausea,Runny Nose,Abdominal Pain,Asthma
Cough,Sneezing,Fever,Chills,High Fever,Malaria
Sneezing,Abdominal Pain,Sore Throat,Swelling,Nausea,Chikungunya
Dizziness,Cough,Nausea,Runny Nose,Diarrhea,Tuberculosis
Dizziness,Sore Throat,Cough,Sweating,Headache,Food Poisoning
High Fever,Fever,Joint Pain,Headache,Diarrhea,Tuberculosis
Abdominal Pain,Nausea,Body Pain,Headache,Sneezing,Tuberculosis
Vomiting,Joint Pain,Dizziness,Sneezing,Loss of Appetite,Allergy
Nausea,Joint Pain,Chills,Dizziness,Cough,Flu
Shortness of Breath,Diarrhea,Fever,Sweating,Cough,Bronchitis
Fatigue,Swelling,Nausea,Abdominal Pain,Joint Pain,Bronchitis
Loss of Appetite,Swelling,Chest Pain,Sneezing,Abdominal Pain,Malaria
Vomiting,Loss of Appetite,Fatigue,Dizziness,Swelling,Tuberculosis
Dizziness,Joint Pain,Sweating,Sneezing,Shortness of Breath,Tuberculosis
Joint Pain,Dizziness,Fever,Body Pain,Cough,Asthma
Headache,High Fever,Dizziness,Cough,Joint Pain,Flu
Body Pain,Chills,High Fever,Fever,Sweating,Dengue
Swelling,Abdominal Pain,Loss of Appetite,Chills,Runny Nose,Chikungunya
Sneezing,Sore Throat,Dizziness,Muscle Weakness,Diarrhea,Pneumonia
Chills,Cough,Vomiting,High Fever,Shortness of Breath,Dengue
Chills,Headache,Diarrhea,Joint Pain,Skin Rash,Flu
Sweating,Vomiting,Abdominal Pain,Sore Throat,Fatigue,Pneumonia
Chest Pain,Swelling,Runny Nose,Fever,Loss of Appetite,Cold
Loss of Appetite,Sweating,Fatigue,Chills,Headache,Dengue
Swelling,Muscle Weakness,Sore Throat,Chest Pain,Fever,COVID-19
Chills,Sore Throat,Cough,Nausea,Vomiting,Tuberculosis
Nausea,Chest Pain,Diarrhea,Abdominal Pain,Swelling,Flu
Fever,Cough,Body Pain,Joint Pain,Shortness of Breath,Bronchitis
Fatigue,Dizziness,Cough,Body Pain,Diarrhea,Pneumonia
Fever,Sneezing,Sweating,Swelling,Diarrhea,Dengue
Fatigue,Joint Pain,Skin Rash,Runny Nose,Dizziness,Asthma
Swelling,Nausea,Vomiting,High Fever,Sneezing,Chikungunya
Headache,Body Pain,Swelling,Fever,Cough,Malaria
Body Pain,Diarrhea,Runny Nose,Abdominal Pain,Fatigue,Pneumonia
Muscle Weakness,High Fever,Sore Throat,Loss of Appetite,Chest Pain,Cold
Shortness of Breath,High Fever,Chest Pain,Chills,Dizziness,Pneumonia
Diarrhea,Body Pain,Runny Nose,Chills,Vomiting,Flu
Fever,Sore Throat,Shortness of Breath,Runny Nose,Nausea,Typhoid
Muscle Weakness,High Fever,Shortness of Breath,Dizziness,Abdominal Pain,Malaria
Abdominal Pain,Runny Nose,Chills,Chest Pain,Sweating,Malaria
Runny Nose,Headache,Cough,Sneezing,High Fever,Tuberculosis
Dizziness,Nausea,Chills,Loss of Appetite,Abdominal Pain,Chikungunya
Skin Rash,Joint Pain,Sweating,Body Pain,Muscle Weakness,Typhoid
Joint Pain,Muscle Weakness,Sweating,Sore Throat,Diarrhea,Allergy
Fever,Chills,Joint Pain,Abdominal Pain,Sweating,Chikungunya
Runny Nose,Body Pain,Swelling,Muscle Weakness,Headache,Typhoid
Nausea,Vomiting,Muscle Weakness,Runny Nose,Skin Rash,Allergy
Sweating,Sore Throat,Sneezing,Muscle Weakness,Swelling,Dengue
Fever,Sore Throat,Runny Nose,Sweating,Joint Pain,Flu
Shortness of Breath,Dizziness,Chest Pain,Headache,Abdominal Pain,Dengue
Dizziness,Swelling,Sweating,Vomiting,Shortness of Breath,COVID-19
Fatigue,High Fever,Loss of Appetite,Swelling,Nausea,Flu
Sneezing,High Fever,Fatigue,Joint Pain,Headache,Asthma
Joint Pain,Chills,Fever,Body Pain,Chest Pain,COVID-19
Skin Rash,Chest Pain,Dizziness,Shortness of Breath,Loss of Appetite,Food Poisoning
Sore Throat,Dizziness,Body Pain,Abdominal Pain,Runny Nose,COVID-19
Skin Rash,Swelling,Headache,Diarrhea,Runny Nose,Allergy
Shortness of Breath,Sweating,Fatigue,Body Pain,Abdominal Pain,Bronchitis
Diarrhea,Dizziness,Abdominal Pain,Fever,Loss of Appetite,Pneumonia
Diarrhea,Skin Rash,Abdominal Pain,Sneezing,Fatigue,Typhoid
Chest Pain,Chills,Sneezing,Nausea,Diarrhea,Bronchitis
Joint Pain,Headache,Abdominal Pain,Vomiting,Cough,Typhoid
Diarrhea,Dizziness,Nausea,Muscle Weakness,Chest Pain,Bronchitis
Headache,Sore Throat,Shortness of Breath,Skin Rash,Dizziness,Malaria
