Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease,AnimalName
Rash,Fatigue,Mild bleeding,Severe headache,Muscle and joint pain,Dengue,Horse
Rash,Dengue Hemorrhagic Fever,Muscle and joint pain,Fatigue,Sudden high fever,Dengue,Monkey
Rash,Muscle and joint pain,Mild bleeding,Dengue Hemorrhagic Fever,Sudden high fever,Dengue,Turtle
Fatigue,Diarrhea,Fever,Runny nose,Muscle or body aches,Flu,Hamster
Runny nose,Itchy eyes,Swelling,Skin rash,Sneezing,Allergy,Hyaenas
Night sweats,Fatigue,Weight loss,Fever (evening),Loss of appetite,Tuberculosis,Cow
Mild fatigue,Mild cough,Runny nose,Mild fever,Sore throat,Cold,Cat
Mild bleeding,Muscle and joint pain,Dengue Hemorrhagic Fever,Severe headache,Sudden high fever,Dengue,Horse
Skin rash,Runny nose,Swelling,Itchy eyes,Sneezing,Allergy,Fox
Rose-colored spots,Abdominal pain,Headache,Constipation,Weakness,Typhoid,Moos
Prolonged high fever,Fatigue,Headache,Abdominal pain,Constipation,Typhoid,Pig
Dengue Hemorrhagic Fever,Sudden high fever,Muscle and joint pain,Pain behind the eyes,Mild bleeding,Dengue,Horse
Bloody diarrhea,Stomach cramps,Diarrhea,Fever,Vomiting,Food Poisoning,Horse
Stomach cramps,Diarrhea,Dehydration,Fever,Weakness,Food Poisoning,Birds
Coughing,Wheezing,Chest tightness,Shortness of breath,None,Asthma,Duck
Headache,Fatigue,Weakness,Constipation,Prolonged high fever,Typhoid,Turtle
Chills,Sore throat,Fatigue,Nausea,Dry cough,COVID-19,Cow
Mild cough,Mild fatigue,Sore throat,Mild fever,Runny nose,Cold,Elephant
Mild cough,Runny nose,Mild fever,Sore throat,Sneezing,Cold,Moos
High fever,Muscle pain,Severe joint pain,Headache,Fatigue,Chikungunya,Goat
Shortness of breath,Chills,Chest pain,High fever,Confusion,Pneumonia,Lion
Persistent cough,Weight loss,Blood in cough,Fever (evening),Loss of appetite,Tuberculosis,Deer
Mild fever,Sneezing,Mild fatigue,Mild cough,Sore throat,Cold,Fowl
Muscle and joint pain,Severe headache,Mild bleeding,Fatigue,Sudden high fever,Dengue,Deer
Weight loss,Persistent cough,Fever (evening),Night sweats,Fatigue,Tuberculosis,Cat
Diarrhea,Fever,Weakness,Bloody diarrhea,Dehydration,Food Poisoning,Goat
Diarrhea,Fever,Nausea,Dehydration,Vomiting,Food Poisoning,Buffaloes
Anemia,Muscle pain,Jaundice,Headache,Nausea,Malaria,Buffaloes
Rash,Muscle pain,Fatigue,High fever,Severe joint pain,Chikungunya,Horse
Mild fever,Persistent cough with mucus,Wheezing,Chest discomfort,Chills,Bronchitis,Turtle
Vomiting,Headache,Anemia,Nausea,Muscle pain,Malaria,Pig
Abdominal pain,Prolonged high fever,Rose-colored spots,Headache,Fatigue,Typhoid,Horse
Sore throat,Shortness of breath,Nausea,Diarrhea,Chills,COVID-19,Dog
Anemia,Jaundice,Nausea,Muscle pain,High fever with chills,Malaria,Moos
Runny nose,Swelling,Sneezing,Skin rash,Itchy eyes,Allergy,Snake
Mild fever,Mild cough,Sneezing,Runny nose,Sore throat,Cold,Duck
Nausea,Headache,High fever with chills,Jaundice,Fatigue,Malaria,Fowl
Weight loss,Persistent cough,Blood in cough,Loss of appetite,Fever (evening),Tuberculosis,Buffaloes
Sudden high fever,Muscle and joint pain,Fatigue,Rash,Severe headache,Dengue,Donkey
Shortness of breath,Sore throat,Dry cough,Fever,Nausea,COVID-19,Tiger
Prolonged high fever,Fatigue,Diarrhea,Constipation,Abdominal pain,Typhoid,Dog
Chills,Chest discomfort,Wheezing,Fatigue,Mild fever,Bronchitis,Fox
Nausea,Headache,High fever with chills,Jaundice,Vomiting,Malaria,Sheep
Severe joint pain,Fatigue,High fever,Muscle pain,Nausea,Chikungunya,Chicken
Sore throat,Mild fever,Mild cough,Mild fatigue,Sneezing,Cold,Monkey
Shortness of breath,High fever,Confusion,Chills,Cough with phlegm,Pneumonia,Horse
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Horse
Fatigue,Sudden high fever,Severe headache,Rash,Pain behind the eyes,Dengue,Monkey
Fever,Sore throat,Headache,Diarrhea,Chills,Flu,Birds
Abdominal pain,Rose-colored spots,Fatigue,Prolonged high fever,Headache,Typhoid,Snake
Wheezing,Chills,Fatigue,Persistent cough with mucus,Mild fever,Bronchitis,Pig
Skin rash,Sneezing,Swelling,Runny nose,Itchy eyes,Allergy,Duck
Shortness of breath,Chest tightness,Wheezing,Coughing,None,Asthma,Cow
Swelling,Itchy eyes,Runny nose,Skin rash,Sneezing,Allergy,Cattle
Wheezing,Coughing,Shortness of breath,Chest tightness,None,Asthma,Moos
Mild cough,Sneezing,Runny nose,Mild fatigue,Mild fever,Cold,Pig
Dengue Hemorrhagic Fever,Muscle and joint pain,Pain behind the eyes,Sudden high fever,Severe headache,Dengue,Deer
Shortness of breath,Chest tightness,Wheezing,Coughing,None,Asthma,Cattle
Itchy eyes,Runny nose,Swelling,Skin rash,Sneezing,Allergy,Mammal
Fatigue,Muscle and joint pain,Pain behind the eyes,Severe headache,Dengue Hemorrhagic Fever,Dengue,Wolves
Runny nose,Fatigue,Chills,Fever,Dry Cough,Flu,Moos
Fatigue,Chills,Wheezing,Chest discomfort,Mild fever,Bronchitis,Horse
Bloody diarrhea,Dehydration,Stomach cramps,Fever,Nausea,Food Poisoning,Donkey
Fever (evening),Night sweats,Persistent cough,Blood in cough,Weight loss,Tuberculosis,Deer
Persistent cough,Fever (evening),Blood in cough,Fatigue,Night sweats,Tuberculosis,Pig
Fatigue,Dengue Hemorrhagic Fever,Sudden high fever,Severe headache,Pain behind the eyes,Dengue,Cat
Chills,Dry cough,Diarrhea,Shortness of breath,Loss of taste or smell,COVID-19,Pig
Fever,Muscle or body aches,Vomiting,Chills,Runny nose,Flu,Turtle
Chills,Chest discomfort,Wheezing,Persistent cough with mucus,Fatigue,Bronchitis,Pig
Loss of appetite,Night sweats,Weight loss,Persistent cough,Fever (evening),Tuberculosis,Fowl
Nausea,Fatigue,Vomiting,Headache,Jaundice,Malaria,Cat
Abdominal pain,Weakness,Constipation,Diarrhea,Fatigue,Typhoid,Elephant
Sore throat,Nausea,Dry cough,Chills,Shortness of breath,COVID-19,Cattle
Muscle and joint pain,Severe headache,Rash,Mild bleeding,Sudden high fever,Dengue,Cow
Fatigue,Muscle and joint pain,Mild bleeding,Dengue Hemorrhagic Fever,Severe headache,Dengue,Mammal
Confusion,Chest pain,High fever,Chills,Fatigue,Pneumonia,Hyaenas
Skin rash,Runny nose,Itchy eyes,Swelling,Sneezing,Allergy,Pig
Muscle pain,High fever with chills,Fatigue,Anemia,Vomiting,Malaria,Hamster
Loss of appetite,Night sweats,Blood in cough,Persistent cough,Weight loss,Tuberculosis,Cow
Runny nose,Mild cough,Sore throat,Sneezing,Mild fever,Cold,Cow
Mild fatigue,Sore throat,Sneezing,Mild fever,Runny nose,Cold,Rabbit
Shortness of breath,Confusion,High fever,Cough with phlegm,Fatigue,Pneumonia,Cow
Severe headache,Sudden high fever,Muscle and joint pain,Fatigue,Mild bleeding,Dengue,Duck
Skin rash,Runny nose,Itchy eyes,Swelling,Sneezing,Allergy,Turtle
Runny nose,Skin rash,Sneezing,Swelling,Itchy eyes,Allergy,Hamster
Pain behind the eyes,Mild bleeding,Fatigue,Severe headache,Muscle and joint pain,Dengue,Turtle
Weight loss,Persistent cough,Loss of appetite,Fatigue,Blood in cough,Tuberculosis,Wolves
Dry cough,Congestion,Loss of taste or smell,Muscle aches,Shortness of breath,COVID-19,Pig
Abdominal pain,Diarrhea,Rose-colored spots,Headache,Fatigue,Typhoid,Donkey
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Snake
Fatigue,Rash,Muscle pain,Nausea,Headache,Chikungunya,Mammal
Chills,Headache,Fatigue,Diarrhea,Vomiting,Flu,Buffaloes
Runny nose,Sneezing,Itchy eyes,Skin rash,Swelling,Allergy,Fox
Nausea,Vomiting,Muscle pain,Headache,Jaundice,Malaria,Turtle
Persistent cough,Fever (evening),Blood in cough,Weight loss,Loss of appetite,Tuberculosis,Horse
Fatigue,Loss of taste or smell,Fever,Diarrhea,Sore throat,COVID-19,Tiger
Dehydration,Stomach cramps,Diarrhea,Weakness,Vomiting,Food Poisoning,Hamster
Weight loss,Persistent cough,Blood in cough,Fever (evening),Loss of appetite,Tuberculosis,Turtle
Chills,Congestion,Loss of taste or smell,Shortness of breath,Nausea,COVID-19,Hyaenas
Chest discomfort,Chills,Fatigue,Persistent cough with mucus,Wheezing,Bronchitis,Sheep
Fatigue,Jaundice,Nausea,Sweating,Muscle pain,Malaria,Hamster
Nausea,Headache,Muscle pain,Rash,High fever,Chikungunya,Elephant
Jaundice,Headache,Vomiting,Anemia,Fatigue,Malaria,Cow
Swelling,Itchy eyes,Sneezing,Runny nose,Skin rash,Allergy,Moos
Mild fever,Wheezing,Fatigue,Persistent cough with mucus,Chills,Bronchitis,Deer
Fatigue,Blood in cough,Persistent cough,Loss of appetite,Weight loss,Tuberculosis,Horse
Fatigue,Mild fever,Chest discomfort,Persistent cough with mucus,Wheezing,Bronchitis,Donkey
High fever,Chest pain,Fatigue,Cough with phlegm,Shortness of breath,Pneumonia,Chicken
Muscle aches,Nausea,Congestion,Fatigue,Fever,COVID-19,Dog
Chest tightness,Wheezing,Coughing,Shortness of breath,None,Asthma,Tiger
Vomiting,Fever,Diarrhea,Fatigue,Sore throat,Flu,Tiger
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Hamster
Mild cough,Mild fever,Sore throat,Sneezing,Mild fatigue,Cold,Sheep
Muscle aches,Fever,Sore throat,Diarrhea,Congestion,COVID-19,Horse
Confusion,Cough with phlegm,Chills,Fatigue,High fever,Pneumonia,Buffaloes
Fatigue,Muscle and joint pain,Severe headache,Rash,Mild bleeding,Dengue,Fox
High fever,Muscle pain,Rash,Headache,Severe joint pain,Chikungunya,Donkey
Persistent cough,Weight loss,Night sweats,Fever (evening),Blood in cough,Tuberculosis,Fowl
Coughing,Shortness of breath,Wheezing,Chest tightness,None,Asthma,Deer
Chest tightness,Wheezing,Coughing,Shortness of breath,None,Asthma,Elephant
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Wolves
Nausea,Diarrhea,Bloody diarrhea,Vomiting,Fever,Food Poisoning,Rabbit
Loss of appetite,Persistent cough,Fatigue,Blood in cough,Fever (evening),Tuberculosis,Birds
High fever,Fatigue,Shortness of breath,Cough with phlegm,Chills,Pneumonia,Tiger
Bloody diarrhea,Weakness,Fever,Stomach cramps,Diarrhea,Food Poisoning,Duck
Diarrhea,Fatigue,Abdominal pain,Constipation,Rose-colored spots,Typhoid,Cattle
Runny nose,Sneezing,Skin rash,Itchy eyes,Swelling,Allergy,Fowl
Persistent cough,Fatigue,Loss of appetite,Weight loss,Blood in cough,Tuberculosis,Sheep
Sore throat,Chills,Shortness of breath,Dry cough,Fatigue,COVID-19,Mammal
Nausea,Fever,Weakness,Bloody diarrhea,Stomach cramps,Food Poisoning,Duck
Muscle or body aches,Fatigue,Sore throat,Fever,Headache,Flu,Fowl
Bloody diarrhea,Dehydration,Diarrhea,Stomach cramps,Vomiting,Food Poisoning,Mammal
Sneezing,Runny nose,Skin rash,Swelling,Itchy eyes,Allergy,Tiger
Constipation,Rose-colored spots,Weakness,Abdominal pain,Fatigue,Typhoid,Buffaloes
Anemia,Sweating,Muscle pain,Fatigue,Vomiting,Malaria,Deer
Chills,Fever,Sore throat,Fatigue,Headache,Flu,Horse
Mild fever,Mild cough,Sore throat,Sneezing,Mild fatigue,Cold,Duck
Jaundice,Muscle pain,Fatigue,Headache,Vomiting,Malaria,Fox
Rash,Fatigue,Pain behind the eyes,Mild bleeding,Dengue Hemorrhagic Fever,Dengue,Chicken
Chest discomfort,Wheezing,Persistent cough with mucus,Chills,Mild fever,Bronchitis,Duck
Rose-colored spots,Abdominal pain,Weakness,Constipation,Prolonged high fever,Typhoid,Cattle
Vomiting,Fever,Sore throat,Dry Cough,Muscle or body aches,Flu,Elephant
Runny nose,Itchy eyes,Swelling,Sneezing,Skin rash,Allergy,Turtle
Rose-colored spots,Abdominal pain,Diarrhea,Prolonged high fever,Fatigue,Typhoid,Horse
Fatigue,Fever,Diarrhea,Muscle or body aches,Sore throat,Flu,Chicken
Constipation,Weakness,Fatigue,Diarrhea,Abdominal pain,Typhoid,Wolves
Wheezing,Fatigue,Persistent cough with mucus,Mild fever,Chills,Bronchitis,Snake
Chills,Mild fever,Persistent cough with mucus,Chest discomfort,Wheezing,Bronchitis,Goat
Diarrhea,Headache,Prolonged high fever,Constipation,Rose-colored spots,Typhoid,Goat
Chest discomfort,Mild fever,Chills,Wheezing,Persistent cough with mucus,Bronchitis,Hamster
Diarrhea,Congestion,Nausea,Fever,Dry cough,COVID-19,Sheep
Blood in cough,Persistent cough,Weight loss,Fever (evening),Fatigue,Tuberculosis,Mammal
Rash,Sudden high fever,Pain behind the eyes,Mild bleeding,Fatigue,Dengue,Goat
Vomiting,Jaundice,Anemia,Nausea,Sweating,Malaria,Fox
High fever,Cough with phlegm,Fatigue,Shortness of breath,Chest pain,Pneumonia,Hamster
Dehydration,Nausea,Weakness,Bloody diarrhea,Fever,Food Poisoning,Hyaenas
Weakness,Rose-colored spots,Abdominal pain,Prolonged high fever,Diarrhea,Typhoid,Duck
Chills,Fatigue,Mild fever,Wheezing,Persistent cough with mucus,Bronchitis,Hamster
Persistent cough,Weight loss,Fever (evening),Blood in cough,Loss of appetite,Tuberculosis,Monkey
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Donkey
Fatigue,Chest pain,High fever,Shortness of breath,Chills,Pneumonia,Birds
Rash,Dengue Hemorrhagic Fever,Severe headache,Sudden high fever,Fatigue,Dengue,Birds
Anemia,Vomiting,Muscle pain,Nausea,High fever with chills,Malaria,Snake
Fatigue,Mild fever,Chills,Wheezing,Persistent cough with mucus,Bronchitis,Snake
Sore throat,Runny nose,Mild fatigue,Mild cough,Mild fever,Cold,Elephant
Fatigue,Chills,Runny nose,Dry Cough,Vomiting,Flu,Turtle
Sneezing,Skin rash,Swelling,Itchy eyes,Runny nose,Allergy,Goat
Runny nose,Chills,Fever,Headache,Muscle or body aches,Flu,Wolves
Runny nose,Itchy eyes,Swelling,Skin rash,Sneezing,Allergy,Cow
Sudden high fever,Mild bleeding,Pain behind the eyes,Rash,Muscle and joint pain,Dengue,Hamster
Nausea,Fatigue,High fever,Rash,Headache,Chikungunya,Donkey
Cough with phlegm,Chest pain,Shortness of breath,Chills,High fever,Pneumonia,Pig
Shortness of breath,Confusion,Chills,Cough with phlegm,Fatigue,Pneumonia,Cattle
Wheezing,Shortness of breath,Chest tightness,Coughing,None,Asthma,Hamster
Runny nose,Swelling,Sneezing,Itchy eyes,Skin rash,Allergy,Turtle
Headache,Constipation,Rose-colored spots,Weakness,Fatigue,Typhoid,Dog
Nausea,Weakness,Stomach cramps,Diarrhea,Bloody diarrhea,Food Poisoning,Cow
Chills,Fatigue,Mild fever,Chest discomfort,Persistent cough with mucus,Bronchitis,Hamster
Confusion,Chills,High fever,Fatigue,Chest pain,Pneumonia,Duck
Swelling,Sneezing,Itchy eyes,Skin rash,Runny nose,Allergy,Tiger
Muscle or body aches,Dry Cough,Fatigue,Chills,Headache,Flu,Cow
Sneezing,Mild fever,Sore throat,Mild cough,Runny nose,Cold,Tiger
Vomiting,Stomach cramps,Fever,Bloody diarrhea,Diarrhea,Food Poisoning,Elephant
Jaundice,Fatigue,Anemia,Nausea,High fever with chills,Malaria,Goat
Abdominal pain,Prolonged high fever,Rose-colored spots,Weakness,Constipation,Typhoid,Sheep
Constipation,Headache,Weakness,Diarrhea,Abdominal pain,Typhoid,Wolves
Weakness,Vomiting,Nausea,Dehydration,Fever,Food Poisoning,Snake
Chills,Fatigue,Vomiting,Runny nose,Dry Cough,Flu,Fowl
Mild fatigue,Mild cough,Mild fever,Runny nose,Sore throat,Cold,Chicken
Sore throat,Fatigue,Chills,Runny nose,Diarrhea,Flu,Dog
Cough with phlegm,Chest pain,Chills,Confusion,High fever,Pneumonia,Snake
Diarrhea,Vomiting,Dry Cough,Sore throat,Runny nose,Flu,Snake
Shortness of breath,Chest pain,Confusion,Fatigue,Cough with phlegm,Pneumonia,Monkey
Nausea,Shortness of breath,Dry cough,Sore throat,Loss of taste or smell,COVID-19,Cow
Abdominal pain,Fatigue,Weakness,Headache,Rose-colored spots,Typhoid,Tiger
Fever,Bloody diarrhea,Weakness,Vomiting,Diarrhea,Food Poisoning,Fowl
Runny nose,Sneezing,Skin rash,Swelling,Itchy eyes,Allergy,Birds
Shortness of breath,Chest tightness,Coughing,Wheezing,None,Asthma,Tiger
Muscle pain,Vomiting,Nausea,Anemia,Fatigue,Malaria,Turtle
Fatigue,Nausea,Muscle pain,Rash,Headache,Chikungunya,Birds
Chills,Congestion,Loss of taste or smell,Sore throat,Shortness of breath,COVID-19,Cat
Dengue Hemorrhagic Fever,Muscle and joint pain,Sudden high fever,Fatigue,Rash,Dengue,Buffaloes
High fever with chills,Headache,Jaundice,Anemia,Vomiting,Malaria,Fox
Persistent cough with mucus,Chills,Chest discomfort,Fatigue,Wheezing,Bronchitis,Hyaenas
Dengue Hemorrhagic Fever,Fatigue,Rash,Pain behind the eyes,Severe headache,Dengue,Moos
Nausea,Stomach cramps,Weakness,Fever,Vomiting,Food Poisoning,Cow
Dengue Hemorrhagic Fever,Mild bleeding,Pain behind the eyes,Severe headache,Muscle and joint pain,Dengue,Wolves
Night sweats,Blood in cough,Loss of appetite,Weight loss,Persistent cough,Tuberculosis,Birds
Fatigue,Dry cough,Loss of taste or smell,Fever,Muscle aches,COVID-19,Tiger
Persistent cough,Loss of appetite,Fever (evening),Fatigue,Blood in cough,Tuberculosis,Birds
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Dog
Coughing,Chest tightness,Shortness of breath,Wheezing,None,Asthma,Pig
Fatigue,Chest pain,Cough with phlegm,Confusion,Chills,Pneumonia,Fowl
High fever with chills,Fatigue,Sweating,Muscle pain,Headache,Malaria,Donkey
Fever,Vomiting,Weakness,Stomach cramps,Bloody diarrhea,Food Poisoning,Cat
Bloody diarrhea,Weakness,Stomach cramps,Nausea,Fever,Food Poisoning,Lion
Sore throat,Mild fever,Mild fatigue,Sneezing,Runny nose,Cold,Moos
Chest tightness,Shortness of breath,Coughing,Wheezing,None,Asthma,Fowl
Shortness of breath,Chest tightness,Coughing,Wheezing,None,Asthma,Sheep
Headache,Weakness,Diarrhea,Prolonged high fever,Constipation,Typhoid,Pig
Diarrhea,Fever,Vomiting,Muscle or body aches,Dry Cough,Flu,Turtle
Dehydration,Diarrhea,Stomach cramps,Bloody diarrhea,Fever,Food Poisoning,Elephant
Fatigue,Abdominal pain,Rose-colored spots,Headache,Diarrhea,Typhoid,Snake
Wheezing,Chest discomfort,Persistent cough with mucus,Mild fever,Fatigue,Bronchitis,Horse
Itchy eyes,Sneezing,Skin rash,Runny nose,Swelling,Allergy,Dog
